SUM,000012093
TotalTime,0000:02:01
SampTime(ms),10
DateTime, 2023-07-20 16:46:01
Time(hh:mm:ss:ms),Voltage(V),Current(A),Power(W),Temperature
"00:00:21:280", 5.021, 0.290, 1.457, 33.
"00:00:21:290", 5.021, 0.301, 1.512, 33.
"00:00:21:300", 5.024, 0.304, 1.527, 33.
"00:00:21:310", 5.024, 0.295, 1.480, 33.
"00:00:21:320", 5.024, 0.295, 1.480, 33.
"00:00:21:330", 5.021, 0.296, 1.487, 33.
"00:00:21:340", 5.021, 0.309, 1.549, 33.
"00:00:21:350", 5.020, 0.295, 1.481, 33.
"00:00:21:360", 5.021, 0.292, 1.464, 33.
"00:00:21:370", 5.021, 0.312, 1.567, 33.
"00:00:21:380", 5.024, 0.296, 1.488, 33.
"00:00:21:390", 5.024, 0.293, 1.470, 33.
"00:00:21:400", 5.021, 0.288, 1.444, 33.
"00:00:21:410", 5.022, 0.297, 1.492, 33.
"00:00:21:420", 5.021, 0.286, 1.434, 33.
"00:00:21:430", 5.021, 0.305, 1.529, 33.
"00:00:21:440", 5.024, 0.292, 1.465, 33.
"00:00:21:450", 5.025, 0.302, 1.518, 33.
"00:00:21:460", 5.021, 0.298, 1.497, 33.
"00:00:21:470", 5.022, 0.307, 1.540, 33.
"00:00:21:480", 5.020, 0.295, 1.479, 33.
"00:00:21:490", 5.021, 0.285, 1.432, 33.
"00:00:21:500", 5.024, 0.291, 1.463, 33.
"00:00:21:510", 5.021, 0.291, 1.462, 33.
"00:00:21:520", 5.021, 0.289, 1.449, 33.
"00:00:21:530", 5.022, 0.296, 1.487, 33.
"00:00:21:540", 5.022, 0.291, 1.462, 33.
"00:00:21:550", 5.022, 0.291, 1.462, 33.
"00:00:21:560", 5.022, 0.298, 1.495, 33.
"00:00:21:570", 5.021, 0.298, 1.497, 33.
"00:00:21:580", 5.022, 0.316, 1.587, 33.
"00:00:21:590", 5.024, 0.308, 1.547, 33.
"00:00:21:600", 5.021, 0.299, 1.502, 33.
"00:00:21:610", 5.024, 0.300, 1.507, 33.
"00:00:21:620", 5.024, 0.300, 1.507, 33.
"00:00:21:630", 5.024, 0.300, 1.507, 33.
"00:00:21:640", 5.022, 0.301, 1.510, 33.
"00:00:21:650", 5.022, 0.301, 1.510, 33.
"00:00:21:660", 5.024, 0.299, 1.500, 33.
"00:00:21:670", 5.022, 0.304, 1.525, 33.
"00:00:21:680", 5.019, 0.322, 1.618, 33.
"00:00:21:690", 5.022, 0.296, 1.487, 33.
"00:00:21:700", 5.020, 0.300, 1.506, 33.
"00:00:21:710", 5.022, 0.302, 1.517, 33.
"00:00:21:720", 5.021, 0.300, 1.507, 33.
"00:00:21:730", 5.021, 0.303, 1.519, 33.
"00:00:21:740", 5.022, 0.293, 1.470, 32.
"00:00:21:750", 5.021, 0.300, 1.504, 32.
"00:00:21:760", 5.021, 0.295, 1.479, 32.
"00:00:21:770", 5.022, 0.287, 1.440, 32.
"00:00:21:780", 5.021, 0.307, 1.539, 32.
"00:00:21:790", 5.022, 0.292, 1.465, 32.
"00:00:21:800", 5.020, 0.298, 1.494, 32.
"00:00:21:810", 5.021, 0.292, 1.464, 32.
"00:00:21:820", 5.021, 0.287, 1.439, 32.
"00:00:21:830", 5.021, 0.301, 1.512, 32.
"00:00:21:840", 5.024, 0.301, 1.512, 32.
"00:00:21:850", 5.022, 0.299, 1.500, 32.
"00:00:21:860", 5.022, 0.299, 1.500, 32.
"00:00:21:870", 5.022, 0.298, 1.497, 32.
"00:00:21:880", 5.022, 0.305, 1.530, 32.
"00:00:21:890", 5.021, 0.302, 1.517, 32.
"00:00:21:900", 5.025, 0.295, 1.483, 32.
"00:00:21:910", 5.024, 0.295, 1.480, 32.
"00:00:21:920", 5.022, 0.301, 1.512, 32.
"00:00:21:930", 5.024, 0.299, 1.502, 32.
"00:00:21:940", 5.022, 0.298, 1.495, 32.
"00:00:21:950", 5.021, 0.290, 1.454, 32.
"00:00:21:960", 5.025, 0.299, 1.500, 32.
"00:00:21:970", 5.024, 0.301, 1.510, 32.
"00:00:21:980", 5.021, 0.309, 1.552, 33.
"00:00:21:990", 5.022, 0.308, 1.545, 33.
"00:00:22:000", 5.021, 0.299, 1.499, 33.
"00:00:22:010", 5.022, 0.293, 1.472, 33.
"00:00:22:020", 5.022, 0.295, 1.482, 33.
"00:00:22:030", 5.020, 0.298, 1.496, 33.
"00:00:22:040", 5.024, 0.294, 1.475, 33.
"00:00:22:050", 5.022, 0.288, 1.445, 33.
"00:00:22:060", 5.021, 0.291, 1.459, 33.
"00:00:22:070", 5.025, 0.301, 1.513, 33.
"00:00:22:080", 5.024, 0.296, 1.488, 33.
"00:00:22:090", 5.021, 0.306, 1.537, 33.
"00:00:22:100", 5.024, 0.301, 1.512, 33.
"00:00:22:110", 5.020, 0.303, 1.519, 33.
"00:00:22:120", 5.024, 0.301, 1.512, 33.
"00:00:22:130", 5.022, 0.300, 1.507, 33.
"00:00:22:140", 5.022, 0.298, 1.497, 33.
"00:00:22:150", 5.021, 0.293, 1.469, 33.
"00:00:22:160", 5.024, 0.303, 1.520, 33.
"00:00:22:170", 5.024, 0.303, 1.520, 33.
"00:00:22:180", 5.024, 0.293, 1.470, 33.
"00:00:22:190", 5.022, 0.292, 1.465, 33.
"00:00:22:200", 5.022, 0.288, 1.447, 33.
"00:00:22:210", 5.025, 0.304, 1.528, 33.
"00:00:22:220", 5.021, 0.305, 1.529, 33.
"00:00:22:230", 5.022, 0.303, 1.520, 33.
"00:00:22:240", 5.019, 0.293, 1.471, 33.
"00:00:22:250", 5.021, 0.291, 1.462, 33.
"00:00:22:260", 5.020, 0.297, 1.489, 33.
"00:00:22:270", 5.022, 0.303, 1.520, 33.
"00:00:22:280", 5.020, 0.306, 1.534, 33.
"00:00:22:290", 5.021, 0.293, 1.469, 33.
"00:00:22:300", 5.021, 0.295, 1.479, 33.
"00:00:22:310", 5.021, 0.296, 1.487, 33.
"00:00:22:320", 5.021, 0.286, 1.437, 33.
"00:00:22:330", 5.021, 0.297, 1.492, 33.
"00:00:22:340", 5.022, 0.299, 1.502, 33.
"00:00:22:350", 5.025, 0.302, 1.515, 33.
"00:00:22:360", 5.024, 0.296, 1.485, 33.
"00:00:22:370", 5.021, 0.290, 1.457, 33.
"00:00:22:380", 5.021, 0.290, 1.457, 33.
"00:00:22:390", 5.022, 0.302, 1.517, 33.
"00:00:22:400", 5.022, 0.307, 1.542, 33.
"00:00:22:410", 5.021, 0.294, 1.474, 33.
"00:00:22:420", 5.025, 0.304, 1.525, 33.
"00:00:22:430", 5.025, 0.294, 1.475, 33.
"00:00:22:440", 5.022, 0.288, 1.445, 33.
"00:00:22:450", 5.022, 0.298, 1.497, 33.
"00:00:22:460", 5.021, 0.290, 1.457, 33.
"00:00:22:470", 5.022, 0.286, 1.437, 33.
"00:00:22:480", 5.022, 0.286, 1.437, 33.
"00:00:22:490", 5.022, 0.292, 1.467, 33.
"00:00:22:500", 5.019, 0.304, 1.526, 33.
"00:00:22:510", 5.024, 0.302, 1.515, 33.
"00:00:22:520", 5.022, 0.304, 1.525, 33.
"00:00:22:530", 5.021, 0.301, 1.509, 33.
"00:00:22:540", 5.021, 0.294, 1.474, 33.
"00:00:22:550", 5.022, 0.292, 1.465, 33.
"00:00:22:560", 5.021, 0.287, 1.439, 33.
"00:00:22:570", 5.021, 0.288, 1.447, 33.
"00:00:22:580", 5.024, 0.300, 1.507, 33.
"00:00:22:590", 5.021, 0.287, 1.439, 33.
"00:00:22:600", 5.020, 0.319, 1.604, 33.
"00:00:22:610", 5.022, 0.301, 1.512, 33.
"00:00:22:620", 5.021, 0.295, 1.482, 33.
"00:00:22:630", 5.022, 0.296, 1.485, 33.
"00:00:22:640", 5.022, 0.297, 1.490, 33.
"00:00:22:650", 5.025, 0.308, 1.548, 33.
"00:00:22:660", 5.020, 0.300, 1.504, 33.
"00:00:22:670", 5.020, 0.302, 1.516, 33.
"00:00:22:680", 5.024, 0.300, 1.507, 33.
"00:00:22:690", 5.024, 0.300, 1.507, 33.
"00:00:22:700", 5.021, 0.303, 1.519, 33.
"00:00:22:710", 5.021, 0.312, 1.567, 33.
"00:00:22:720", 5.021, 0.294, 1.477, 33.
"00:00:22:730", 5.024, 0.296, 1.488, 33.
"00:00:22:740", 5.022, 0.296, 1.487, 33.
"00:00:22:750", 5.022, 0.295, 1.482, 33.
"00:00:22:760", 5.022, 0.292, 1.465, 33.
"00:00:22:770", 5.021, 0.306, 1.534, 33.
"00:00:22:780", 5.021, 0.305, 1.532, 33.
"00:00:22:790", 5.020, 0.300, 1.504, 33.
"00:00:22:800", 5.020, 0.290, 1.454, 33.
"00:00:22:810", 5.021, 0.324, 1.626, 33.
"00:00:22:820", 5.021, 0.295, 1.482, 33.
"00:00:22:830", 5.024, 0.295, 1.483, 33.
"00:00:22:840", 5.024, 0.292, 1.465, 33.
"00:00:22:850", 5.021, 0.289, 1.449, 33.
"00:00:22:860", 5.024, 0.293, 1.473, 33.
"00:00:22:870", 5.022, 0.290, 1.457, 33.
"00:00:22:880", 5.021, 0.291, 1.459, 33.
"00:00:22:890", 5.021, 0.293, 1.472, 33.
"00:00:22:900", 5.022, 0.300, 1.505, 33.
"00:00:22:910", 5.020, 0.310, 1.554, 33.
"00:00:22:920", 5.020, 0.293, 1.471, 33.
"00:00:22:930", 5.021, 0.292, 1.467, 33.
"00:00:22:940", 5.025, 0.291, 1.463, 33.
"00:00:22:950", 5.024, 0.295, 1.480, 33.
"00:00:22:960", 5.025, 0.300, 1.505, 33.
"00:00:22:970", 5.024, 0.288, 1.448, 33.
"00:00:22:980", 5.025, 0.305, 1.533, 33.
"00:00:22:990", 5.021, 0.294, 1.477, 33.
"00:00:23:000", 5.021, 0.294, 1.477, 33.
"00:00:23:010", 5.022, 0.298, 1.495, 33.
"00:00:23:020", 5.020, 0.303, 1.521, 33.
"00:00:23:030", 5.019, 0.292, 1.466, 33.
"00:00:23:040", 5.017, 0.291, 1.458, 33.
"00:00:23:050", 5.021, 0.299, 1.499, 33.
"00:00:23:060", 5.022, 0.286, 1.437, 33.
"00:00:23:070", 5.020, 0.299, 1.499, 33.
"00:00:23:080", 5.022, 0.299, 1.500, 33.
"00:00:23:090", 5.022, 0.297, 1.492, 33.
"00:00:23:100", 5.022, 0.291, 1.462, 33.
"00:00:23:110", 5.022, 0.287, 1.442, 33.
"00:00:23:120", 5.024, 0.301, 1.510, 33.
"00:00:23:130", 5.022, 0.293, 1.472, 33.
"00:00:23:140", 5.021, 0.286, 1.437, 33.
"00:00:23:150", 5.020, 0.297, 1.491, 33.
"00:00:23:160", 5.024, 0.306, 1.535, 33.
"00:00:23:170", 5.020, 0.299, 1.499, 33.
"00:00:23:180", 5.022, 0.294, 1.475, 33.
"00:00:23:190", 5.022, 0.301, 1.512, 33.
"00:00:23:200", 5.022, 0.307, 1.540, 33.
"00:00:23:210", 5.022, 0.304, 1.527, 33.
"00:00:23:220", 5.022, 0.304, 1.527, 33.
"00:00:23:230", 5.022, 0.289, 1.452, 33.
"00:00:23:240", 5.024, 0.296, 1.488, 33.
"00:00:23:250", 5.021, 0.298, 1.497, 33.
"00:00:23:260", 5.021, 0.307, 1.539, 33.
"00:00:23:270", 5.021, 0.292, 1.464, 33.
"00:00:23:280", 5.020, 0.296, 1.484, 33.
"00:00:23:290", 5.020, 0.299, 1.501, 33.
"00:00:23:300", 5.025, 0.303, 1.520, 33.
"00:00:23:310", 5.025, 0.303, 1.520, 33.
"00:00:23:320", 5.024, 0.304, 1.525, 33.
"00:00:23:330", 5.024, 0.290, 1.458, 33.
"00:00:23:340", 5.022, 0.302, 1.515, 33.
"00:00:23:350", 5.024, 0.299, 1.502, 33.
"00:00:23:360", 5.024, 0.294, 1.478, 33.
"00:00:23:370", 5.024, 0.295, 1.480, 33.
"00:00:23:380", 5.025, 0.298, 1.498, 33.
"00:00:23:390", 5.022, 0.290, 1.455, 33.
"00:00:23:400", 5.020, 0.294, 1.476, 33.
"00:00:23:410", 5.020, 0.287, 1.442, 33.
"00:00:23:420", 5.022, 0.295, 1.482, 33.
"00:00:23:430", 5.021, 0.298, 1.497, 33.
"00:00:23:440", 5.022, 0.291, 1.462, 33.
"00:00:23:450", 5.021, 0.299, 1.499, 33.
"00:00:23:460", 5.021, 0.301, 1.512, 33.
"00:00:23:470", 5.021, 0.294, 1.474, 33.
"00:00:23:480", 5.022, 0.296, 1.485, 33.
"00:00:23:490", 5.024, 0.293, 1.470, 33.
"00:00:23:500", 5.022, 0.296, 1.487, 33.
"00:00:23:510", 5.025, 0.300, 1.508, 33.
"00:00:23:520", 5.025, 0.300, 1.508, 33.
"00:00:23:530", 5.021, 0.298, 1.497, 33.
"00:00:23:540", 5.020, 0.299, 1.499, 33.
"00:00:23:550", 5.020, 0.298, 1.496, 33.
"00:00:23:560", 5.020, 0.304, 1.524, 33.
"00:00:23:570", 5.022, 0.298, 1.495, 33.
"00:00:23:580", 5.020, 0.295, 1.481, 33.
"00:00:23:590", 5.021, 0.298, 1.497, 33.
"00:00:23:600", 5.024, 0.293, 1.470, 33.
"00:00:23:610", 5.024, 0.298, 1.497, 33.
"00:00:23:620", 5.021, 0.294, 1.477, 33.
"00:00:23:630", 5.022, 0.307, 1.540, 33.
"00:00:23:640", 5.022, 0.294, 1.475, 33.
"00:00:23:650", 5.022, 0.297, 1.490, 33.
"00:00:23:660", 5.020, 0.298, 1.496, 33.
"00:00:23:670", 5.024, 0.299, 1.500, 33.
"00:00:23:680", 5.022, 0.290, 1.457, 33.
"00:00:23:690", 5.024, 0.304, 1.527, 33.
"00:00:23:700", 5.025, 0.312, 1.568, 33.
"00:00:23:710", 5.022, 0.295, 1.480, 33.
"00:00:23:720", 5.022, 0.299, 1.500, 33.
"00:00:23:730", 5.020, 0.314, 1.579, 33.
"00:00:23:740", 5.021, 0.285, 1.432, 33.
"00:00:23:750", 5.021, 0.298, 1.497, 33.
"00:00:23:760", 5.024, 0.292, 1.465, 33.
"00:00:23:770", 5.022, 0.301, 1.510, 33.
"00:00:23:780", 5.022, 0.294, 1.475, 33.
"00:00:23:790", 5.022, 0.286, 1.435, 33.
"00:00:23:800", 5.022, 0.290, 1.455, 33.
"00:00:23:810", 5.024, 0.303, 1.522, 33.
"00:00:23:820", 5.022, 0.300, 1.505, 33.
"00:00:23:830", 5.022, 0.300, 1.505, 33.
"00:00:23:840", 5.025, 0.307, 1.543, 33.
"00:00:23:850", 5.022, 0.289, 1.452, 33.
"00:00:23:860", 5.022, 0.289, 1.452, 33.
"00:00:23:870", 5.024, 0.297, 1.490, 33.
"00:00:23:880", 5.025, 0.297, 1.493, 33.
"00:00:23:890", 5.022, 0.291, 1.462, 33.
"00:00:23:900", 5.024, 0.293, 1.473, 33.
"00:00:23:910", 5.024, 0.297, 1.492, 33.
"00:00:23:920", 5.021, 0.291, 1.462, 33.
"00:00:23:930", 5.025, 0.295, 1.480, 33.
"00:00:23:940", 5.020, 0.309, 1.551, 33.
"00:00:23:950", 5.021, 0.301, 1.509, 33.
"00:00:23:960", 5.022, 0.303, 1.520, 33.
"00:00:23:970", 5.022, 0.303, 1.522, 33.
"00:00:23:980", 5.021, 0.302, 1.517, 33.
"00:00:23:990", 5.022, 0.289, 1.452, 33.
"00:00:24:000", 5.022, 0.298, 1.497, 33.
"00:00:24:010", 5.021, 0.306, 1.534, 33.
"00:00:24:020", 5.021, 0.298, 1.497, 33.
"00:00:24:030", 5.022, 0.290, 1.455, 33.
"00:00:24:040", 5.021, 0.305, 1.529, 33.
"00:00:24:050", 5.021, 0.294, 1.474, 33.
"00:00:24:060", 5.024, 0.293, 1.470, 33.
"00:00:24:070", 5.024, 0.297, 1.492, 33.
"00:00:24:080", 5.024, 0.301, 1.510, 33.
"00:00:24:090", 5.021, 0.301, 1.509, 33.
"00:00:24:100", 5.019, 0.287, 1.439, 33.
"00:00:24:110", 5.022, 0.302, 1.515, 33.
"00:00:24:120", 5.020, 0.293, 1.471, 33.
"00:00:24:130", 5.022, 0.302, 1.515, 33.
"00:00:24:140", 5.022, 0.302, 1.515, 33.
"00:00:24:150", 5.024, 0.319, 1.602, 33.
"00:00:24:160", 5.021, 0.289, 1.452, 33.
"00:00:24:170", 5.024, 0.301, 1.510, 33.
"00:00:24:180", 5.021, 0.290, 1.454, 33.
"00:00:24:190", 5.025, 0.297, 1.493, 33.
"00:00:24:200", 5.020, 0.299, 1.499, 33.
"00:00:24:210", 5.020, 0.294, 1.474, 33.
"00:00:24:220", 5.022, 0.295, 1.480, 33.
"00:00:24:230", 5.024, 0.287, 1.443, 33.
"00:00:24:240", 5.022, 0.309, 1.552, 33.
"00:00:24:250", 5.020, 0.299, 1.499, 33.
"00:00:24:260", 5.021, 0.287, 1.439, 33.
"00:00:24:270", 5.021, 0.290, 1.457, 33.
"00:00:24:280", 5.022, 0.294, 1.475, 33.
"00:00:24:290", 5.022, 0.301, 1.510, 33.
"00:00:24:300", 5.021, 0.292, 1.464, 33.
"00:00:24:310", 5.025, 0.295, 1.483, 33.
"00:00:24:320", 5.024, 0.302, 1.515, 33.
"00:00:24:330", 5.024, 0.293, 1.473, 33.
"00:00:24:340", 5.021, 0.282, 1.417, 33.
"00:00:24:350", 5.021, 0.294, 1.477, 33.
"00:00:24:360", 5.024, 0.307, 1.542, 33.
"00:00:24:370", 5.021, 0.300, 1.504, 33.
"00:00:24:380", 5.020, 0.292, 1.466, 33.
"00:00:24:390", 5.020, 0.292, 1.466, 33.
"00:00:24:400", 5.024, 0.303, 1.522, 33.
"00:00:24:410", 5.020, 0.290, 1.454, 33.
"00:00:24:420", 5.022, 0.290, 1.457, 33.
"00:00:24:430", 5.024, 0.299, 1.500, 33.
"00:00:24:440", 5.022, 0.301, 1.512, 33.
"00:00:24:450", 5.022, 0.301, 1.512, 33.
"00:00:24:460", 5.021, 0.292, 1.467, 33.
"00:00:24:470", 5.024, 0.302, 1.517, 33.
"00:00:24:480", 5.022, 0.302, 1.515, 33.
"00:00:24:490", 5.022, 0.301, 1.510, 33.
"00:00:24:500", 5.024, 0.297, 1.490, 33.
"00:00:24:510", 5.022, 0.300, 1.507, 33.
"00:00:24:520", 5.021, 0.305, 1.529, 33.
"00:00:24:530", 5.022, 0.288, 1.445, 33.
"00:00:24:540", 5.022, 0.295, 1.480, 33.
"00:00:24:550", 5.022, 0.304, 1.527, 33.
"00:00:24:560", 5.022, 0.295, 1.482, 33.
"00:00:24:570", 5.022, 0.289, 1.452, 33.
"00:00:24:580", 5.021, 0.292, 1.464, 33.
"00:00:24:590", 5.022, 0.297, 1.492, 33.
"00:00:24:600", 5.021, 0.295, 1.479, 33.
"00:00:24:610", 5.021, 0.289, 1.449, 33.
"00:00:24:620", 5.024, 0.302, 1.515, 33.
"00:00:24:630", 5.024, 0.307, 1.542, 33.
"00:00:24:640", 5.020, 0.290, 1.454, 33.
"00:00:24:650", 5.021, 0.306, 1.537, 33.
"00:00:24:660", 5.022, 0.299, 1.500, 33.
"00:00:24:670", 5.022, 0.286, 1.437, 33.
"00:00:24:680", 5.022, 0.294, 1.475, 33.
"00:00:24:690", 5.020, 0.287, 1.442, 33.
"00:00:24:700", 5.024, 0.295, 1.480, 33.
"00:00:24:710", 5.021, 0.293, 1.469, 33.
"00:00:24:720", 5.022, 0.296, 1.485, 33.
"00:00:24:730", 5.021, 0.287, 1.442, 33.
"00:00:24:740", 5.021, 0.292, 1.464, 33.
"00:00:24:750", 5.021, 0.327, 1.641, 33.
"00:00:24:760", 5.021, 0.327, 1.641, 33.
"00:00:24:770", 5.021, 0.297, 1.492, 33.
"00:00:24:780", 5.022, 0.305, 1.530, 33.
"00:00:24:790", 5.024, 0.303, 1.522, 33.
"00:00:24:800", 5.021, 0.288, 1.447, 33.
"00:00:24:810", 5.024, 0.293, 1.470, 33.
"00:00:24:820", 5.025, 0.301, 1.513, 33.
"00:00:24:830", 5.021, 0.303, 1.519, 33.
"00:00:24:840", 5.021, 0.287, 1.439, 33.
"00:00:24:850", 5.022, 0.309, 1.552, 33.
"00:00:24:860", 5.022, 0.309, 1.552, 33.
"00:00:24:870", 5.022, 0.297, 1.490, 33.
"00:00:24:880", 5.024, 0.294, 1.478, 33.
"00:00:24:890", 5.021, 0.295, 1.482, 33.
"00:00:24:900", 5.021, 0.295, 1.479, 33.
"00:00:24:910", 5.022, 0.295, 1.482, 33.
"00:00:24:920", 5.021, 0.304, 1.524, 33.
"00:00:24:930", 5.025, 0.303, 1.520, 33.
"00:00:24:940", 5.021, 0.302, 1.517, 33.
"00:00:24:950", 5.024, 0.303, 1.522, 33.
"00:00:24:960", 5.021, 0.295, 1.479, 33.
"00:00:24:970", 5.022, 0.290, 1.455, 33.
"00:00:24:980", 5.021, 0.296, 1.487, 33.
"00:00:24:990", 5.022, 0.295, 1.480, 33.
"00:00:25:000", 5.024, 0.297, 1.492, 33.
"00:00:25:010", 5.022, 0.308, 1.545, 33.
"00:00:25:020", 5.024, 0.304, 1.527, 33.
"00:00:25:030", 5.024, 0.305, 1.532, 33.
"00:00:25:040", 5.024, 0.294, 1.475, 33.
"00:00:25:050", 5.021, 0.303, 1.522, 33.
"00:00:25:060", 5.024, 0.320, 1.607, 33.
"00:00:25:070", 5.024, 0.320, 1.607, 33.
"00:00:25:080", 5.025, 0.303, 1.520, 33.
"00:00:25:090", 5.021, 0.294, 1.474, 33.
"00:00:25:100", 5.025, 0.299, 1.500, 33.
"00:00:25:110", 5.020, 0.284, 1.424, 33.
"00:00:25:120", 5.021, 0.293, 1.469, 33.
"00:00:25:130", 5.021, 0.302, 1.517, 33.
"00:00:25:140", 5.024, 0.305, 1.530, 33.
"00:00:25:150", 5.020, 0.291, 1.461, 33.
"00:00:25:160", 5.021, 0.291, 1.462, 33.
"00:00:25:170", 5.022, 0.305, 1.530, 33.
"00:00:25:180", 5.021, 0.302, 1.514, 33.
"00:00:25:190", 5.022, 0.294, 1.475, 33.
"00:00:25:200", 5.021, 0.295, 1.479, 33.
"00:00:25:210", 5.020, 0.299, 1.501, 33.
"00:00:25:220", 5.022, 0.288, 1.445, 33.
"00:00:25:230", 5.022, 0.287, 1.442, 33.
"00:00:25:240", 5.022, 0.293, 1.472, 33.
"00:00:25:250", 5.025, 0.295, 1.480, 33.
"00:00:25:260", 5.024, 0.297, 1.490, 33.
"00:00:25:270", 5.024, 0.301, 1.512, 33.
"00:00:25:280", 5.024, 0.294, 1.478, 33.
"00:00:25:290", 5.024, 0.305, 1.530, 33.
"00:00:25:300", 5.022, 0.304, 1.527, 33.
"00:00:25:310", 5.021, 0.301, 1.509, 33.
"00:00:25:320", 5.022, 0.302, 1.515, 33.
"00:00:25:330", 5.019, 0.291, 1.459, 33.
"00:00:25:340", 5.020, 0.286, 1.437, 33.
"00:00:25:350", 5.024, 0.297, 1.492, 33.
"00:00:25:360", 5.021, 0.294, 1.477, 33.
"00:00:25:370", 5.020, 0.300, 1.504, 33.
"00:00:25:380", 5.020, 0.300, 1.504, 33.
"00:00:25:390", 5.022, 0.296, 1.487, 33.
"00:00:25:400", 5.020, 0.298, 1.494, 33.
"00:00:25:410", 5.020, 0.304, 1.524, 33.
"00:00:25:420", 5.022, 0.302, 1.515, 33.
"00:00:25:430", 5.021, 0.298, 1.497, 33.
"00:00:25:440", 5.019, 0.290, 1.456, 33.
"00:00:25:450", 5.021, 0.306, 1.537, 33.
"00:00:25:460", 5.021, 0.302, 1.514, 33.
"00:00:25:470", 5.025, 0.311, 1.560, 33.
"00:00:25:480", 5.020, 0.320, 1.609, 33.
"00:00:25:490", 5.021, 0.296, 1.484, 33.
"00:00:25:500", 5.020, 0.288, 1.444, 33.
"00:00:25:510", 5.024, 0.286, 1.438, 33.
"00:00:25:520", 5.022, 0.297, 1.490, 33.
"00:00:25:530", 5.020, 0.300, 1.506, 33.
"00:00:25:540", 5.021, 0.287, 1.442, 33.
"00:00:25:550", 5.021, 0.291, 1.462, 33.
"00:00:25:560", 5.021, 0.299, 1.502, 33.
"00:00:25:570", 5.020, 0.312, 1.569, 33.
"00:00:25:580", 5.021, 0.292, 1.464, 33.
"00:00:25:590", 5.024, 0.299, 1.502, 33.
"00:00:25:600", 5.020, 0.300, 1.504, 33.
"00:00:25:610", 5.025, 0.295, 1.480, 33.
"00:00:25:620", 5.025, 0.304, 1.525, 33.
"00:00:25:630", 5.019, 0.286, 1.436, 33.
"00:00:25:640", 5.021, 0.289, 1.452, 33.
"00:00:25:650", 5.022, 0.297, 1.492, 33.
"00:00:25:660", 5.024, 0.294, 1.478, 33.
"00:00:25:670", 5.022, 0.297, 1.492, 33.
"00:00:25:680", 5.021, 0.302, 1.517, 33.
"00:00:25:690", 5.021, 0.302, 1.517, 33.
"00:00:25:700", 5.020, 0.291, 1.461, 33.
"00:00:25:710", 5.021, 0.295, 1.482, 33.
"00:00:25:720", 5.022, 0.297, 1.490, 33.
"00:00:25:730", 5.020, 0.293, 1.469, 33.
"00:00:25:740", 5.021, 0.291, 1.459, 33.
"00:00:25:750", 5.021, 0.297, 1.492, 33.
"00:00:25:760", 5.021, 0.293, 1.469, 33.
"00:00:25:770", 5.021, 0.302, 1.514, 33.
"00:00:25:780", 5.024, 0.314, 1.580, 33.
"00:00:25:790", 5.022, 0.299, 1.500, 33.
"00:00:25:800", 5.019, 0.295, 1.481, 33.
"00:00:25:810", 5.024, 0.296, 1.488, 33.
"00:00:25:820", 5.022, 0.299, 1.502, 33.
"00:00:25:830", 5.022, 0.311, 1.564, 33.
"00:00:25:840", 5.022, 0.310, 1.554, 33.
"00:00:25:850", 5.020, 0.286, 1.434, 33.
"00:00:25:860", 5.022, 0.298, 1.497, 33.
"00:00:25:870", 5.025, 0.303, 1.520, 33.
"00:00:25:880", 5.021, 0.293, 1.472, 33.
"00:00:25:890", 5.024, 0.300, 1.507, 33.
"00:00:25:900", 5.024, 0.293, 1.473, 33.
"00:00:25:910", 5.021, 0.298, 1.494, 33.
"00:00:25:920", 5.020, 0.288, 1.447, 33.
"00:00:25:930", 5.021, 0.312, 1.567, 33.
"00:00:25:940", 5.019, 0.302, 1.513, 33.
"00:00:25:950", 5.022, 0.302, 1.517, 33.
"00:00:25:960", 5.024, 0.307, 1.542, 33.
"00:00:25:970", 5.022, 0.303, 1.522, 33.
"00:00:25:980", 5.020, 0.342, 1.716, 33.
"00:00:25:990", 5.019, 0.327, 1.641, 33.
"00:00:26:000", 5.019, 0.327, 1.641, 33.
"00:00:26:010", 5.021, 0.325, 1.634, 33.
"00:00:26:020", 5.020, 0.328, 1.646, 33.
"00:00:26:030", 5.024, 0.319, 1.605, 33.
"00:00:26:040", 5.022, 0.329, 1.652, 33.
"00:00:26:050", 5.020, 0.316, 1.589, 33.
"00:00:26:060", 5.020, 0.325, 1.633, 33.
"00:00:26:070", 5.019, 0.323, 1.621, 33.
"00:00:26:080", 5.020, 0.319, 1.604, 33.
"00:00:26:090", 5.017, 0.316, 1.585, 33.
"00:00:26:100", 5.021, 0.324, 1.629, 33.
"00:00:26:110", 5.020, 0.324, 1.626, 33.
"00:00:26:120", 5.020, 0.321, 1.614, 33.
"00:00:26:130", 5.022, 0.318, 1.599, 33.
"00:00:26:140", 5.021, 0.327, 1.641, 33.
"00:00:26:150", 5.022, 0.322, 1.617, 33.
"00:00:26:160", 5.022, 0.317, 1.592, 33.
"00:00:26:170", 5.021, 0.317, 1.594, 33.
"00:00:26:180", 5.020, 0.324, 1.626, 33.
"00:00:26:190", 5.020, 0.321, 1.614, 33.
"00:00:26:200", 5.020, 0.319, 1.604, 33.
"00:00:26:210", 5.020, 0.319, 1.604, 33.
"00:00:26:220", 5.020, 0.325, 1.633, 33.
"00:00:26:230", 5.020, 0.328, 1.646, 33.
